"dimension","group","count_2011","count_2021","absolute_change","percentage_change","change_direction"
"Gender","Female",11712,13716,2004,17.1,"Increase"
"Gender","Male",22321,25788,3467,15.5,"Increase"
"Counterparty","2- or 3- wheeled motor vehicle",246,300,54,22,"Increase"
"Counterparty","Car, pick-up truck or van",14014,16192,2178,15.5,"Increase"
"Counterparty","Fixed or stationary object",4933,5596,663,13.4,"Increase"
"Counterparty","Heavy transport vehicle or bus",1069,1020,-49,-4.6,"Decrease"
"Counterparty","Non-collision transport accident",8643,10728,2085,24.1,"Increase"
"Counterparty","Other and unspecified transport accidents",4416,4644,228,5.2,"Increase"
"Counterparty","Other non-motor vehicle",46,64,18,39.1,"Increase"
"Counterparty","Pedal cycle",280,451,171,61.1,"Increase"
"Counterparty","Pedestrian or animal",342,481,139,40.6,"Increase"
"Counterparty","Train",44,29,-15,-34.1,"Decrease"
"Road User Type","Bus occupant",214,169,-45,-21,"Decrease"
"Road User Type","Car driver",10948,13327,2379,21.7,"Increase"
"Road User Type","Car passenger",4853,4495,-358,-7.4,"Decrease"
"Road User Type","Car unknown position",889,717,-172,-19.3,"Decrease"
"Road User Type","Heavy transport driver",455,383,-72,-15.8,"Decrease"
"Road User Type","Heavy transport passenger",52,56,4,7.7,"Increase"
"Road User Type","Heavy transport unknown position",55,36,-19,-34.5,"Decrease"
"Road User Type","Motorcyclist",7565,8883,1318,17.4,"Increase"
"Road User Type","Other or unknown",610,601,-9,-1.5,"Decrease"
"Road User Type","Pedal cyclist",5391,8163,2772,51.4,"Increase"
"Road User Type","Pedestrian",2754,2334,-420,-15.3,"Decrease"
"Road User Type","Pick-up truck or van occupant",247,341,94,38.1,"Increase"
"Age Group","0-7",719,707,-12,-1.7,"Decrease"
"Age Group","17-25",8094,8010,-84,-1,"Decrease"
"Age Group","26-39",8166,9423,1257,15.4,"Increase"
"Age Group","40-64",10660,13026,2366,22.2,"Increase"
"Age Group","65-74",1968,3018,1050,53.4,"Increase"
"Age Group","75+",1906,2458,552,29,"Increase"
"Age Group","8-16",2520,2863,343,13.6,"Increase"
"Remoteness","Major Cities",21870,26355,4485,20.5,"Increase"
"Remoteness","Missing",546,629,83,15.2,"Increase"
"Remoteness","Regional",10461,11407,946,9,"Increase"
"Remoteness","Remote",1156,1114,-42,-3.6,"Decrease"
